Column1,Column2,Column3,Column4
human,robot,robotAction,result
避让,注视,不避让,safe
不避让,不注视,避让,safe
不避让,注视,不避让,safe
不避让,不注视,避让,safe
不避让,不注视,避让,safe
不避让,注视,不避让,safe
不避让,注视,不避让,crash
避让,注视,不避让,safe
不避让,注视,不避让,safe
不避让,注视,不避让,safe
避让,注视,不避让,safe
不避让,注视,不避让,crash
不避让,不注视,不避让,crash
不避让,注视,不避让,crash
不避让,不注视,不避让,crash
不避让,不注视,避让,safe
不避让,注视,不避让,crash
不避让,注视,不避让,crash
不避让,不注视,避让,safe
不避让,不注视,避让,safe
不避让,不注视,避让,safe
不避让,不注视,不避让,crash
不避让,不注视,避让,safe
不避让,不注视,不避让,crash
不避让,不注视,避让,safe
不避让,注视,避让,safe
不避让,注视,不避让,crash
不避让,不注视,避让,safe
避让,不注视,避让,safe
不避让,注视,不避让,crash
避让,不注视,避让,safe
避让,不注视,避让,safe
不避让,注视,不避让,crash
不避让,不注视,避让,safe
不避让,不注视,不避让,crash
不避让,不注视,不避让,crash
避让,注视,不避让,safe
避让,不注视,避让,safe
避让,注视,不避让,safe
避让,不注视,避让,safe
不避让,不注视,避让,safe
不避让,不注视,避让,safe
不避让,注视,避让,safe
不避让,不注视,避让,safe
避让,注视,不避让,safe
避让,注视,不避让,safe
避让,不注视,不避让,safe
避让,注视,不避让,safe
不避让,注视,不避让,crash
避让,不注视,避让,safe
避让,注视,不避让,safe
避让,注视,不避让,safe
避让,注视,避让,safe
避让,不注视,避让,safe
避让,注视,避让,safe
避让,不注视,避让,safe
避让,不注视,避让,safe
不避让,不注视,不避让,crash
不避让,不注视,避让,safe
不避让,不注视,不避让,crash
避让,不注视,避让,safe
避让,注视,不避让,safe
不避让,注视,不避让,crash
避让,不注视,避让,safe
不避让,不注视,避让,safe
不避让,注视,不避让,crash
避让,不注视,不避让,safe
不避让,注视,避让,safe
不避让,注视,不避让,crash
不避让,注视,不避让,crash
不避让,注视,避让,safe
不避让,不注视,避让,safe
避让,注视,避让,safe
避让,不注视,避让,safe
避让,不注视,避让,safe
避让,注视,不避让,safe
避让,注视,避让,safe
不避让,注视,不避让,crash
避让,不注视,避让,safe
避让,不注视,避让,safe
避让,注视,避让,safe
避让,注视,不避让,safe
避让,不注视,避让,safe
避让,不注视,避让,safe
避让,不注视,避让,safe
避让,注视,避让,safe
避让,不注视,避让,safe
避让,不注视,不避让,safe
避让,不注视,避让,safe
避让,注视,不避让,safe
不避让,注视,避让,safe
不避让,不注视,避让,safe
不避让,不注视,避让,safe
不避让,注视,不避让,crash
避让,不注视,避让,safe
避让,不注视,不避让,safe
避让,注视,不避让,safe
避让,注视,不避让,safe
避让,注视,不避让,safe
不避让,不注视,避让,safe
避让,不注视,避让,safe
不避让,注视,避让,safe
不避让,不注视,不避让,crash
避让,注视,避让,safe
不避让,注视,避让,safe
不避让,不注视,不避让,crash
避让,注视,不避让,safe
避让,注视,不避让,safe
不避让,不注视,避让,safe
避让,不注视,避让,safe
避让,注视,避让,safe
不避让,不注视,不避让,crash
不避让,注视,避让,safe
不避让,注视,不避让,crash
避让,注视,不避让,safe
避让,注视,不避让,safe
不避让,不注视,避让,safe
避让,注视,不避让,safe
不避让,注视,避让,safe
避让,不注视,不避让,safe
不避让,注视,不避让,crash
避让,不注视,避让,safe
避让,不注视,避让,safe
不避让,不注视,避让,safe
不避让,注视,避让,safe
避让,不注视,不避让,safe
不避让,不注视,避让,safe
不避让,不注视,不避让,crash
避让,不注视,避让,safe
不避让,不注视,避让,safe
避让,注视,不避让,safe
不避让,不注视,避让,safe
避让,不注视,避让,safe
不避让,不注视,不避让,crash
避让,注视,不避让,safe
不避让,注视,避让,safe
不避让,注视,不避让,crash
避让,不注视,不避让,safe
避让,不注视,不避让,safe
不避让,不注视,避让,safe
避让,不注视,避让,safe
避让,不注视,不避让,safe
避让,不注视,避让,safe
不避让,注视,避让,safe
不避让,不注视,避让,safe
不避让,注视,不避让,crash
不避让,注视,不避让,crash
不避让,不注视,避让,safe
避让,不注视,不避让,safe
避让,不注视,不避让,safe
不避让,不注视,避让,safe
不避让,不注视,不避让,crash
不避让,不注视,不避让,crash
不避让,注视,不避让,crash
避让,注视,不避让,safe
避让,不注视,避让,safe
避让,不注视,避让,safe
不避让,不注视,不避让,crash
不避让,注视,不避让,crash
避让,不注视,避让,safe
避让,不注视,避让,safe
避让,不注视,避让,safe
不避让,不注视,避让,safe
不避让,注视,不避让,crash
